nll-oracle,nll-test,EmbeddingSimilarity,
1,10.785947,7.6084547,-0.2109360249149872,
6,10.130257,6.9673495,-0.20792680526147092,
11,9.982684,6.68283,-0.21025220716309995,
16,9.99634,6.578374,-0.2125159955181363,
21,9.949394,6.4750357,-0.21265589776019056,
26,9.930984,6.3892198,-0.21121845571674897,
31,9.907156,6.3225894,-0.21151612124249286,
36,9.882874,6.2668157,-0.21319935662454242,
41,9.911274,6.2235227,-0.20891078760381937,
46,9.889004,6.1784325,-0.20741532107757962,
51,9.907857,6.1497617,-0.21122135660580302,
56,9.914675,6.121725,-0.20968880910365945,
61,9.897312,6.10104,-0.2101558935646544,
